Max_Ve,Min_Ve,Avg_Ve,Std_Ve,is_error,N
21.90,14.70,18.72,2.15,0,288
24.60,18.20,21.12,1.65,0,289
27.70,17,21.93,2.56,0,290
30,16.20,21.57,3.24,0,291
26.80,18.60,22.15,2.42,0,292
23.90,16.10,19.86,2.22,0,293
24.10,16.90,20.57,1.71,0,294
26.70,14.50,20.68,2.73,0,295
24.50,17,20.71,2.03,0,296
23.60,16.50,20,1.68,0,297
26,16,20.80,2.97,0,298
84.40,17,24.32,14.32,0,299
25,16.90,21.01,2.36,0,300
24.50,17.20,20.70,2.18,0,301
23.70,18.10,20.87,1.94,0,302
23.80,16.90,20.99,2.01,0,303
26.50,15.90,20.31,2.89,0,304
23.50,15.50,19.34,1.76,0,305
29.50,18.30,23.45,3.01,0,306
24.50,16.70,20.75,2.12,0,307
27,16.60,20.81,2.75,0,308
24.10,15.90,19.57,2.16,0,309
28.40,18,23.05,2.80,0,310
24.10,17.70,21.07,1.63,0,311
24.50,16.30,20.50,2.41,0,312
25.70,18.90,21.70,1.88,0,313
25.10,18.80,21.12,2.23,0,314
23.90,16.40,20.90,2.07,0,315
24.80,18.50,21.45,1.65,0,316
28.70,17.30,22.65,2.56,0,317
25.10,17.50,21.26,1.79,0,318
25.80,18.70,22.33,1.78,0,319
24,16.20,21.19,2.13,0,320
26.80,17.80,22.74,2.05,0,321
23.70,18.60,21.56,1.25,0,322
26,18.10,21.43,2.39,0,323
24.90,17.10,21.31,2,0,324
26.50,18.60,21.62,1.90,0,325
22.80,17.10,19.82,1.30,0,326
24.10,16.80,20.72,2.05,0,327
27.70,17.70,21.61,2.35,0,328
28.40,19.10,22.17,2.13,0,329
25.40,17.70,20.76,1.96,0,330
24.10,19.50,22.04,1.49,0,331
25.10,18.20,22.18,1.82,0,332
27.10,19.10,23.12,2.44,0,333
25.30,19.80,21.59,1.57,0,334
27.90,19.30,21.60,2,0,335
26,17.50,21.01,2.07,0,336
25.10,19.50,22.48,1.74,0,337
26.50,18,22.61,2.01,0,338
25.20,18.10,20.98,1.94,0,339
27.60,20.10,22.77,1.88,0,340
26.10,17.40,21.36,2.61,0,341
27.10,17.50,22.16,2.36,0,342
23.40,17.20,20.44,1.69,0,343
25.50,19.40,21.65,1.84,0,344
24.20,16.30,21.13,1.94,0,345
25,17.70,21.42,1.99,0,346
26.10,16.60,20.25,2.11,0,347
24.70,17.80,21.30,2.20,0,348
24.80,18.40,21.64,1.51,0,349
26.70,17.50,22.40,2.21,0,350
26.30,16.60,21.87,1.87,0,351
24.90,16.80,21,2.03,0,352
22.90,17,20.25,1.81,0,353
26.20,19,22.11,2.03,0,354
25.60,17.10,22.26,2,0,355
26,17.90,21.49,2.19,0,356
26.10,16.50,21.02,2.49,0,357
24.80,18.60,21.92,1.85,0,358
28.90,18.60,22.67,2.19,0,359
25.70,20.10,22.68,1.63,0,360
26.10,16.40,21.76,2.05,0,361
24,18,21.34,1.72,0,362
27.50,16,21.07,2.52,0,363
84.20,17.90,23.77,14.34,0,364
25.30,18.80,21.47,1.75,0,365
27.10,17.90,21.95,2.10,0,366
25.40,19.30,22.59,1.78,0,367
26.10,18,21.79,2.09,0,368
25.70,16.20,20.60,2.32,0,369
28.80,20.50,24.14,2.26,0,370
24.20,18.10,21.37,1.70,0,371
26.70,17.30,22.07,2.81,0,372
25.60,21.20,23.10,1.15,0,373
24,15.90,20.05,2.53,0,374
25.30,17.60,20.49,2.16,0,375
29.30,16.70,21.32,3.16,0,376
24.50,18,20.90,1.87,0,377
22.20,16.30,19.10,1.67,0,378
23.30,16.90,20.17,1.69,0,379
84,13.80,23.16,14.55,0,380
26,16.90,20.83,2.50,0,381
24.10,16.70,19.66,2.10,0,382
25.20,18.30,21.71,1.66,0,383
23.10,18.20,20.58,1.46,0,384
26.20,18,21.26,2.28,0,385
25.80,18,21.66,2.07,0,386
24.70,14.50,20.71,2.38,0,387
27,17.80,21.70,2.17,0,388
24,17.60,20.52,2.10,0,389
26.40,17.20,21.78,2.02,0,390
24.50,17.40,20.72,1.89,0,391
23,16.20,19.84,1.89,0,392
23.60,14.80,20.36,1.99,0,393
28.10,19,21.92,1.88,0,394
22.90,16.50,20.80,1.58,0,395
27.40,18.80,22.17,2.37,0,396
24.10,15.10,20.24,2.01,0,397
32.60,17.60,22.09,3.11,0,398
28.50,16,21.25,2.68,0,399
24.20,17.40,21.52,1.64,0,400
24.60,17.80,20.96,1.69,0,401
24,15.30,19.54,2.20,0,402
24.70,17.30,21.16,1.85,0,403
24.30,17.60,20.82,2.08,0,404
23.50,14.10,20.26,2.21,0,405
23.30,17.90,20.27,1.40,0,406
22.60,16.90,19.69,1.75,0,407
84.70,19.40,25.13,14.09,0,408
25.90,19,21.36,1.56,0,409
25.50,19.20,22.27,1.64,0,410
25.40,18.60,21.89,1.56,0,411
26.50,17.90,21.19,2.19,0,412
27.30,19.30,22.35,1.86,0,413
27.60,19.40,22.76,2.18,0,414
85.30,18.90,25.55,14.16,0,415
25.50,18.60,22.24,1.93,0,416
25.60,16.70,21.04,2.16,0,417
26.10,17.90,21.92,2.36,0,418
23.60,16.90,20.29,1.70,0,419
23.20,17.10,20.92,1.58,0,420
23.80,16.80,21.19,1.79,0,421
22.60,15,19.24,1.95,0,422
21.70,16.30,19.76,1.40,0,423
84,16.60,24.24,14.25,0,424
28.60,18.60,21.43,2.16,0,425
23,16.90,20.15,1.76,0,426
28.80,17.80,21.28,2.52,0,427
27.90,16.90,20.54,2.26,0,428
23.80,17.60,20.58,1.98,0,429
26.70,17.60,21.15,2.31,0,430
24.90,16.30,20.91,2.22,0,431
24.40,16.10,20.49,2.09,0,432
24.70,16.20,21,2.04,0,433
22.90,16.50,19.08,1.79,0,434
22.70,16.20,19.52,1.80,0,435
25.40,16.60,21.46,1.99,0,436
24.30,17.70,21.20,1.81,0,437
25.20,16.90,20.83,2.04,0,438
26.10,16.10,20.15,2.46,0,439
23.70,17.90,20.94,1.64,0,440
26,16.50,19.65,2.61,0,441
24.20,16.90,21.21,2.17,0,442
23.20,16,20.40,1.92,0,443
23.20,18.20,20.40,1.42,0,444
25.30,15.80,20,2.52,0,445
23.20,15.30,20.40,2.05,0,446
30.90,16.10,20.63,2.81,0,447
23,14.50,18.76,1.95,0,448
24.80,17.90,20.92,2.02,0,449
24.30,16.40,21.16,1.63,0,450
23.60,16.20,19.57,1.89,0,451
22.70,16.50,20.17,1.55,0,452
23.70,15.70,18.99,1.80,0,453
23.70,17.50,20.14,1.61,0,454
25,17.60,20.64,2.07,0,455
28.60,16.30,21.26,2.99,0,456
26.80,17.30,20.72,2.07,0,457
30.20,17.60,20.57,3.07,0,458
22.50,17,19.97,1.37,0,459
24.90,16.80,20.72,2.20,0,460
26.30,18.70,21.60,2.09,0,461
31.50,16.60,21.39,3.05,0,462
27.10,18.70,21.63,1.92,0,463
23.30,17,20.79,1.93,0,464
84.50,17.30,23.06,14.57,0,465
27.90,18.50,22.51,2.31,0,466
24.30,17.80,20.61,1.66,0,467
27.30,17.60,21.35,2.32,0,468
24.10,16.40,19.95,1.83,0,469
25.40,17.50,22.31,1.89,0,470
24.60,13.80,20.23,2.56,0,471
83.90,17.60,23.64,14.34,0,472
22.50,16,18.51,1.70,0,473
