Max_Ve,Min_Ve,Avg_Ve,Std_Ve,is_error,N
10.50,7.60,9.19,0.83,0,479
11.30,7.80,9.69,1.11,0,480
10.30,6.30,8.40,1.03,0,481
11.10,8,9.81,0.83,0,482
11.80,7.70,9.86,1,0,483
10.60,7.70,9.18,0.76,0,484
12.20,9,10.25,0.82,0,485
12.20,8.60,10.13,1.04,0,486
9.20,5.20,7.25,0.87,0,487
10.10,6.20,7.97,0.99,0,488
10,6.30,8.27,1.11,0,489
9.20,5.50,6.95,0.99,0,490
10.80,6.80,8.61,1.08,0,491
9.80,6,7.87,1.10,0,492
9.20,5.80,7.42,1,0,493
11.70,6.80,9.24,1.40,0,494
9.90,6.70,8.11,1.04,0,495
9.20,5,7.11,0.98,0,496
10.90,7.30,8.97,0.94,0,497
11.40,6.90,8.80,1.18,0,498
10.60,7,8.86,1.01,0,499
11.20,7.50,9.50,1.04,0,500
10.80,7.30,9.05,0.93,0,501
10.80,7.50,9.16,0.88,0,502
10.70,6.70,8.96,1.10,0,503
10.50,8.30,9.39,0.61,0,504
13.20,9.10,11.37,0.97,0,505
12.40,8.10,10.72,1.12,0,506
11.50,9,10.08,0.62,0,507
13,8.60,10.49,0.93,0,508
11.80,8.70,10.16,0.83,0,509
11.40,8.10,9.32,0.88,0,510
14.10,9.20,11.18,1.47,0,511
12.70,7.40,10.20,1.48,0,512
11.10,7.80,9.28,0.90,0,513
12.90,8.40,10.70,1.25,0,514
12.40,8.70,10.56,1.12,0,515
13.10,8.30,10,1.02,0,516
14.40,9.10,10.96,1.12,0,517
12.20,8.60,10.38,1.15,0,518
11,7.40,9.17,1.05,0,519
13.30,8.80,10.28,1.09,0,520
12.70,9.30,10.50,0.89,0,521
12.20,8.10,9.49,1.08,0,522
13.40,8.90,10.63,1.25,0,523
13,8.40,10.91,1.08,0,524
10.90,6.80,8.75,0.99,0,525
11.40,7.70,8.99,1.12,0,526
11.50,7.40,9.46,1.15,0,527
12.70,9.10,10.80,0.88,0,528
12.80,8.30,10.23,1.20,0,529
11.50,7.10,9.07,0.91,0,530
28.90,7.50,10.08,4.53,0,531
11,7.70,9.22,0.87,0,532
13.10,8.10,10.31,1.42,0,533
12.10,8.80,10.21,1.02,0,534
10.40,7.70,8.94,0.88,0,535
11.90,7.20,9.56,1.18,0,536
12.30,8.50,10.13,1.01,0,537
10.40,5.80,8.51,1.13,0,538
12.40,8.20,10.71,1.18,0,539
10.50,7.90,9.57,0.70,0,540
10.80,7.90,9.68,0.71,0,541
12,7.50,9.53,1.08,0,542
11.60,7.60,9.32,0.88,0,543
11.60,7.90,9.46,1.03,0,544
9.90,7,8.41,0.84,0,545
11.10,8.30,9.68,0.79,0,546
16.60,7.60,9.53,1.85,0,547
10.70,7.40,9.25,0.93,0,548
10,6.60,8.61,0.90,0,549
9.80,6.60,8.36,0.89,0,550
16.20,7.20,9.13,1.88,0,551
12.70,8,9.76,1.14,0,552
10.80,7.90,9.06,0.78,0,553
8.60,5.20,7.45,0.88,0,554
9.40,6.20,7.23,0.84,0,555
8.30,5.20,6.71,0.80,0,556
8.60,5.60,7.06,0.77,0,557
8.70,5.50,7.57,0.85,0,558
8.80,5.30,7.11,1.09,0,559
9.90,6.20,7.56,0.95,0,560
12.90,4.80,6.95,1.69,0,561
8,3.80,6.42,0.97,0,562
9.80,5.40,7.66,1.14,0,563
9.50,4.90,6.71,1.11,0,564
8.20,4.40,5.85,0.96,0,565
9.20,6.10,8.11,0.84,0,566
8.60,6.10,7.18,0.77,0,567
9.30,6.20,7.66,0.81,0,568
10.20,6,7.84,1.08,0,569
10.20,6.80,8.24,0.73,0,570
9.50,6.20,8.18,0.71,0,571
11.40,5.50,7.96,1.32,0,572
9.60,6.50,7.82,0.85,0,573
10.10,7.60,8.92,0.70,0,574
9.70,7.10,8.39,0.81,0,575
10.50,7.30,8.90,0.89,0,576
9.40,6.60,7.96,0.87,0,577
9.70,6.90,8.47,0.69,0,578
17.30,6.30,8.69,2.27,0,579
9.60,7.50,8.28,0.66,0,580
10.50,7.30,8.39,0.83,0,581
11.90,7.40,8.84,1.09,0,582
10.90,6.60,8.70,0.88,0,583
10.80,8,8.97,0.84,0,584
11.70,7.40,9.43,1.18,0,585
10.70,6.50,8.82,1.19,0,586
9.90,6.40,8.19,1.05,0,587
10.80,6.40,8.28,0.99,0,588
10.70,7.40,9.25,0.83,0,589
11.30,6.50,8.80,1.27,0,590
11.70,7,8.91,1.06,0,591
10.70,7.10,8.84,1.08,0,592
11.30,6.30,8.30,1.23,0,593
11.10,8.30,9.65,0.81,0,594
10.40,8.60,9.37,0.56,0,595
10.90,8.30,9.77,0.73,0,596
11,7.70,9.72,0.86,0,597
9.90,6,8.43,1.09,0,598
9.70,6.10,8.22,0.91,0,599
10.70,7.30,8.77,0.78,0,600
9.90,7.10,8.62,0.89,0,601
9,6.40,7.59,0.67,0,602
9.30,5.50,7.70,0.94,0,603
8.90,6.30,7.54,0.75,0,604
9.10,5.60,7.52,0.92,0,605
10.50,6.20,8.30,1.04,0,606
9.70,5.30,7.44,1.16,0,607
10,7,8.27,0.98,0,608
9.80,5.60,7.66,1.25,0,609
8.50,4.80,7.18,0.79,0,610
8.70,5.60,7.15,1.02,0,611
8.10,4.80,6.89,0.86,0,612
10.50,7.10,8.37,0.87,0,613
13.70,8.30,9.87,1.26,0,614
11.30,8.30,9.77,0.99,0,615
11.70,7.80,9.43,1.11,0,616
11.50,7.20,9.11,0.87,0,617
10.50,7.90,9.06,0.68,0,618
10.80,7.90,9.20,0.74,0,619
12.20,7.20,9.21,1.38,0,620
10.50,6.30,8.36,1.09,0,621
10.30,7,8.83,0.86,0,622
11,7.60,9.32,0.87,0,623
10.90,7.20,9.76,0.92,0,624
11,7.20,9.24,1.04,0,625
11.80,6.40,9.01,1.55,0,626
11.50,7,8.78,1.44,0,627
10.90,7.20,8.60,0.95,0,628
12,7.80,9.36,1.20,0,629
8.80,4.50,6.34,1.04,0,630
8.20,4.20,6.06,1.20,0,631
8.90,4.40,6.72,1.27,0,632
7.90,5.30,6.41,0.85,0,633
10.80,6.20,8.46,1.39,0,634
9.20,6,7.66,1.01,0,635
9.90,6.20,7.74,1.13,0,636
10,6.30,7.90,0.99,0,637
10.30,7.10,8.46,1.14,0,638
10.60,7.40,9.10,0.90,0,639
8.80,6.70,8.02,0.53,0,640
10.80,7.40,8.77,0.99,0,641
9,6.40,7.87,0.82,0,642
8.70,6.10,7.31,0.67,0,643
9.10,6.20,7.55,0.88,0,644
10.30,7.40,8.58,0.80,0,645
8.90,7.20,7.98,0.51,0,646
30.60,26.20,28.09,1.09,0,647
10.70,6.90,8.41,1.12,0,648
11.20,8.20,9.41,0.89,0,649
11.40,6.80,8.23,1,0,650
10.20,6.60,8.66,0.98,0,651
10.80,5.60,7.74,1.07,0,652
10.10,6.60,8.30,0.90,0,653
11.40,6.60,8.40,1.16,0,654
10.70,7.70,9.33,0.87,0,655
10.50,7.90,9.07,0.83,0,656
9.90,7.50,8.86,0.73,0,657
10.80,6.90,8.86,0.99,0,658
10.70,7,8.39,0.93,0,659
11.10,6.60,8.47,1.26,0,660
9.60,7.40,8.55,0.68,0,661
12.20,6.70,8.72,1.26,0,662
10.50,7,8.79,1,0,663
9.90,6.40,8.25,0.85,0,664
10.30,6.60,8.42,0.89,0,665
11,7.40,8.69,0.94,0,666
10.30,6.90,8.43,0.78,0,667
10.80,7,8.78,0.93,0,668
11,6.20,8.95,1.11,0,669
10.50,7.20,8.55,0.91,0,670
9,6,7.85,0.85,0,671
10.30,6.90,8.52,1.10,0,672
10,6.90,8.38,0.71,0,673
8.80,5.90,7.30,0.89,0,674
9.10,6.40,7.92,0.87,0,675
8.30,5.40,6.88,0.86,0,676
10.30,5.90,7.84,1.01,0,677
9.80,6.60,8.49,0.91,0,678
9.90,6.70,8.58,0.93,0,679
8.50,5.90,7.11,0.70,0,680
10.60,6.10,7.98,0.98,0,681
9.60,5.40,7.32,1.08,0,682
10.40,6.50,8.01,1.17,0,683
11.60,5.50,8.20,1.42,0,684
10,6.10,7.98,0.98,0,685
9.30,6.20,7.80,0.88,0,686
8.90,6,7.50,0.78,0,687
8.90,6.20,7.58,0.72,0,688
10.20,6.40,8.14,0.91,0,689
9,6.40,7.38,0.62,0,690
9,6.10,7.23,0.82,0,691
8.90,5.70,6.95,1.01,0,692
8.10,5.60,6.83,0.60,0,693
8.20,5.30,6.70,0.83,0,694
8.60,5.50,6.67,0.91,0,695
9.10,5,7.26,0.98,0,696
10,6.10,7.86,1.05,0,697
8.30,5.90,7.13,0.64,0,698
8.50,5.30,7.05,0.80,0,699
8.50,5.50,7.05,0.74,0,700
8.60,6,7.60,0.66,0,701
9.90,4.90,6.99,1.07,0,702
9.30,5.40,7.04,0.98,0,703
8.10,5.30,7.04,0.71,0,704
8.90,5.80,7.35,0.85,0,705
8.90,6.60,7.70,0.76,0,706
9.10,6.50,7.72,0.79,0,707
