M,C,d,L,R,T,N
1.0360,24.4320,0.6010,83.8910,0.8350,2025-01-02 19:46:55,11.0
1.0580,24.21,0.2830,84.0820,0.9340,2025-01-02 19:46:55,11.0
1.0480,24.2940,0.5990,83.9520,0.9640,2025-01-02 19:46:55,11.0
1.0440,24.33,0.4050,84.0020,0.9460,2025-01-02 19:46:55,11.0
1.0450,24.1640,0.5280,84.2180,0.8930,2025-01-02 19:46:55,11.0
1.0280,24.3160,0.2620,84.2350,0.9240,2025-01-02 19:46:55,11.0
1.0380,24.2050,0.5510,83.9710,0.8670,2025-01-02 19:46:55,11.0
1.0290,24.2830,0.6960,83.8910,0.8680,2025-01-02 19:46:55,11.0
1.0270,24.2630,0.69,83.9930,0.9020,2025-01-02 19:46:55,11.0
1.0520,24.3450,0.4270,83.9330,0.9380,2025-01-02 19:46:55,11.0
0.9840,24.2260,0.4090,84.3040,0.8970,2025-01-02 19:46:55,11.0
1.0320,24.2020,0.5890,84,0.9290,2025-01-02 19:46:55,11.0
0.9940,24.2480,0.2990,84.1870,0.9030,2025-01-02 19:46:55,11.0
1.03,24.23,0.5170,83.9040,0.8990,2025-01-02 19:46:55,11.0
1.0330,24.2150,0.4210,83.9880,0.9130,2025-01-02 19:46:55,11.0
1.03,24.2810,0.4940,84.10,0.8980,2025-01-02 19:46:55,11.0
1.0490,24.3680,0.2960,83.9650,0.8960,2025-01-02 19:46:55,11.0
1.0650,24.3690,0.2720,83.8840,0.8930,2025-01-02 19:46:55,11.0
1.0590,24.3230,0.3840,84.0370,0.9380,2025-01-02 19:46:55,11.0
0.9620,24.2940,0.52,84.02,0.9270,2025-01-02 20:46:15,12.0
1.0350,24.28,0.5880,84.18,0.9140,2025-01-02 20:46:15,12.0
1.0350,24.3070,0.6580,84.12,0.9460,2025-01-02 20:46:15,12.0
1.0280,24.3770,0.7960,83.99,0.94,2025-01-02 20:46:15,12.0
1.0080,24.2860,0.4350,83.73,0.9290,2025-01-02 20:46:15,12.0
0.9990,24.3060,0.3640,83.95,0.85,2025-01-02 20:46:15,12.0
1.0430,24.3070,0.4070,83.96,0.8980,2025-01-02 20:46:15,12.0
1.0570,24.4550,0.4140,84.02,0.9730,2025-01-02 20:46:15,12.0
1.0640,24.3960,0.7130,84.08,0.9860,2025-01-02 20:46:15,12.0
1.0230,24.3070,0.47,83.80,0.9060,2025-01-02 20:46:15,12.0
1.03,24.4260,0.5430,84.23,0.9640,2025-01-02 20:46:15,12.0
1.03,24.3350,0.5550,83.74,0.9450,2025-01-02 20:46:15,12.0
1.0010,24.3220,0.6350,83.92,0.9380,2025-01-02 20:46:15,12.0
1.0260,24.3050,0.5150,83.95,0.9460,2025-01-02 20:46:15,12.0
1.0330,24.33,0.6050,84,0.9460,2025-01-02 20:46:15,12.0
1.0230,24.3230,0.5020,83.83,0.9310,2025-01-02 20:46:15,12.0
0.9930,24.3120,0.2990,83.83,0.93,2025-01-02 20:46:15,12.0
1.0340,24.3860,0.5450,84,0.9240,2025-01-02 20:46:15,12.0
1.0270,24.3460,0.4570,84.08,0.9110,2025-01-02 20:46:15,12.0
0.9970,24.2580,0.4920,83.83,0.8280,2025-01-02 20:46:15,12.0
1.0090,24.41,0.2990,84,0.8960,2025-01-02 20:51:16,13.0
1.0520,24.3570,0.5880,84.09,0.9720,2025-01-02 20:51:16,13.0
1.0320,24.35,0.51,83.88,0.99,2025-01-02 20:51:16,13.0
1.0050,24.4120,0.5630,83.70,0.9020,2025-01-02 20:51:16,13.0
1.0170,24.4340,0.3190,83.70,0.9550,2025-01-02 20:51:16,13.0
1.0050,24.2980,0.2990,83.97,0.9510,2025-01-02 20:51:16,13.0
1.0230,24.4480,0.63,84.10,0.8860,2025-01-02 20:51:16,13.0
1.0610,24.4950,0.3370,84.15,0.9130,2025-01-02 20:51:16,13.0
1.0220,24.4750,0.49,83.59,0.9440,2025-01-02 20:51:16,13.0
1.0310,24.3660,0.4650,83.90,0.9450,2025-01-02 20:51:16,13.0
1.01,24.3880,0.3090,83.82,0.95,2025-01-02 20:51:16,13.0
1.0350,24.33,0.7310,83.79,0.9480,2025-01-02 20:51:16,13.0
1.0340,24.3980,0.52,83.79,0.9370,2025-01-02 20:51:16,13.0
1.0030,24.31,0.2610,83.71,0.9370,2025-01-02 20:51:16,13.0
1.0140,24.3990,0.4140,84.16,0.9130,2025-01-02 20:51:16,13.0
0.9950,24.4120,0.4870,83.99,0.8710,2025-01-02 20:51:16,13.0
1.02,24.3450,0.2590,83.98,0.9570,2025-01-02 20:51:16,13.0
1.0270,24.3640,0.4520,83.87,0.9670,2025-01-02 20:51:16,13.0
1.0180,24.4030,0.4120,83.98,0.97,2025-01-02 20:51:16,13.0
1.0620,24.3880,0.5270,83.81,1.0150,2025-01-02 20:51:16,13.0
1.03,24.3640,0.4170,83.76,0.9330,2025-01-02 20:56:17,14.0
1.0190,24.3440,0.3940,83.67,0.9540,2025-01-02 20:56:17,14.0
1.0820,24.3890,0.52,83.61,0.9490,2025-01-02 20:56:17,14.0
1.0270,24.3450,0.3820,83.66,0.9310,2025-01-02 20:56:17,14.0
1.0310,24.3130,0.3640,83.72,0.9470,2025-01-02 20:56:17,14.0
0.9950,24.2940,0.4850,83.50,0.8870,2025-01-02 20:56:17,14.0
1.0130,24.3070,0.2860,83.64,0.9820,2025-01-02 20:56:17,14.0
1.0410,24.2390,0.2460,83.94,0.9710,2025-01-02 20:56:17,14.0
1.0020,24.2880,0.5530,83.97,0.95,2025-01-02 20:56:17,14.0
1.0160,24.3230,0.2840,83.94,0.9230,2025-01-02 20:56:17,14.0
1.0560,24.40,0.3190,83.70,0.99,2025-01-02 20:56:17,14.0
1.01,24.4050,0.4350,83.70,0.97,2025-01-02 20:56:17,14.0
1.0720,24.3650,0.4040,83.83,1.0210,2025-01-02 20:56:17,14.0
0.9980,24.2970,0.3490,83.93,0.9230,2025-01-02 20:56:17,14.0
1.0330,24.3440,0.5220,83.67,0.9570,2025-01-02 20:56:17,14.0
1.0230,24.3060,0.3940,83.81,1.0080,2025-01-02 20:56:17,14.0
1.0070,24.3220,0.7010,83.76,0.8840,2025-01-02 20:56:17,14.0
1.0220,24.3410,0.6710,83.91,0.9730,2025-01-02 20:56:17,14.0
1.0220,24.3160,0.51,83.63,0.9580,2025-01-02 20:56:17,14.0
1.0290,24.3310,0.3240,83.61,0.9980,2025-01-02 20:56:17,14.0
1.0350,24.3630,0.3260,83.84,1.0050,2025-01-02 21:01:18,15.0
1.0150,24.34,0.4570,84.23,0.9770,2025-01-02 21:01:18,15.0
1.0310,24.3580,0.5530,83.80,1,2025-01-02 21:01:18,15.0
1.01,24.3910,0.3210,84.07,0.9310,2025-01-02 21:01:18,15.0
1.01,24.3910,0.4170,83.87,0.9810,2025-01-02 21:01:18,15.0
1.0380,24.3550,0.4470,83.97,0.9720,2025-01-02 21:01:18,15.0
1.04,24.2310,0.4470,84,1.0050,2025-01-02 21:01:18,15.0
1.0290,24.2920,0.5680,83.89,0.9750,2025-01-02 21:01:18,15.0
1.0290,24.3180,0.3670,83.68,1.0020,2025-01-02 21:01:18,15.0
1.0170,24.3460,0.9040,83.92,0.9220,2025-01-02 21:01:18,15.0
1.0510,24.2840,0.4090,84.02,1.0360,2025-01-02 21:01:18,15.0
1.0270,24.2780,0.3120,83.97,0.9540,2025-01-02 21:01:18,15.0
1.0360,24.3540,0.62,83.88,0.98,2025-01-02 21:01:18,15.0
1.0520,24.3530,0.5070,84.09,0.8920,2025-01-02 21:01:18,15.0
1.0440,24.3740,0.3820,83.95,0.95,2025-01-02 21:01:18,15.0
1.0060,24.3470,0.4850,83.94,0.9170,2025-01-02 21:01:18,15.0
1.0110,24.3760,0.3010,84.01,0.9810,2025-01-02 21:01:18,15.0
1.0210,24.3570,0.2990,83.88,0.9640,2025-01-02 21:01:18,15.0
1.0310,24.4050,0.3870,84.04,0.9310,2025-01-02 21:01:18,15.0
1.0090,24.33,0.5580,83.77,0.9290,2025-01-02 21:01:18,15.0
1.0350,24.3140,0.6880,84.2020,0.8670,2025-01-03 11:05:48,16.0
1.0360,24.2640,0.5010,83.9910,0.8860,2025-01-03 11:05:48,16.0
1.05,24.3240,0.5280,83.9820,0.8950,2025-01-03 11:05:48,16.0
1.0140,24.3180,0.5690,84.0320,0.8960,2025-01-03 11:05:48,16.0
1.0210,24.3060,0.5470,84,0.8810,2025-01-03 11:05:48,16.0
1.0050,24.2650,0.4010,83.9850,0.9340,2025-01-03 11:05:48,16.0
1.0070,24.3340,0.5350,84.0090,0.8790,2025-01-03 11:05:48,16.0
1.0210,24.2410,0.6040,84.1220,0.9030,2025-01-03 11:05:48,16.0
1.0160,24.4420,0.73,84.0060,0.9350,2025-01-03 11:05:48,16.0
1.01,24.3720,0.4780,84.0690,0.9030,2025-01-03 11:05:48,16.0
1.0640,24.3790,0.4410,84.2190,0.8860,2025-01-03 11:05:48,16.0
1.0030,24.2190,0.2610,84.1270,0.9150,2025-01-03 11:05:48,16.0
0.9840,24.3620,0.3710,83.8890,0.83,2025-01-03 11:05:48,16.0
1.0470,24.35,0.6690,83.9910,0.9870,2025-01-03 11:05:48,16.0
1.0160,24.2390,0.5630,83.8880,0.9310,2025-01-03 11:05:48,16.0
1.0230,24.39,0.4540,84.2210,0.8650,2025-01-03 11:05:48,16.0
1,24.3480,0.44,83.8760,0.8350,2025-01-03 11:05:48,16.0
1.03,24.3910,0.4580,84.1150,0.8850,2025-01-03 11:05:48,16.0
1.0010,24.4430,0.7970,84.0980,0.9540,2025-01-03 11:05:48,16.0
1.0210,24.3450,0.5340,83.9760,0.9790,2025-01-03 11:05:48,16.0
