M,C,d,L,R,T,N
0.6770,19.9210,0.5910,88.6170,1.0080,2025-01-05 11:02:21,11.0
0.7090,20.04,0.5910,88.7840,0.98,2025-01-05 11:02:21,11.0
0.6870,19.9680,0.4870,88.6190,1.0070,2025-01-05 11:02:21,11.0
0.7010,20.0150,0.6620,105.9480,1.0640,2025-01-05 11:02:21,11.0
0.6870,19.9590,0.3680,88.6440,1.0210,2025-01-05 11:02:21,11.0
0.6990,19.9110,0.3430,88.5560,0.99,2025-01-05 11:02:21,11.0
0.6910,19.9810,0.3330,88.5880,0.9880,2025-01-05 11:02:21,11.0
0.6950,19.9650,0.4720,88.9560,1.0680,2025-01-05 11:02:21,11.0
0.6850,20.0210,0.4550,88.8420,1.0440,2025-01-05 11:02:21,11.0
0.7150,19.9590,0.3990,88.7160,1.0150,2025-01-05 11:02:21,11.0
0.68,20.0530,0.3570,88.8220,0.9560,2025-01-05 11:02:21,11.0
0.7120,20.0280,0.4520,88.8840,1.01,2025-01-05 11:02:21,11.0
0.7250,19.9490,0.5420,88.8650,1.1230,2025-01-05 11:02:21,11.0
0.7120,20.1160,0.3810,89.0050,1.0010,2025-01-05 11:02:21,11.0
0.6840,19.9210,0.5770,89.4230,0.9850,2025-01-05 13:17:30,12.0
0.7060,19.9840,0.2940,89.0760,0.9970,2025-01-05 13:17:30,12.0
0.7260,20.0030,0.5640,89.0430,1.0940,2025-01-05 13:17:30,12.0
0.6910,19.9520,0.5850,88.5980,0.9960,2025-01-05 13:17:30,12.0
0.7080,19.9650,0.5220,88.8230,0.9970,2025-01-05 13:17:30,12.0
0.7020,20.0810,0.4380,88.7750,1.0240,2025-01-05 13:17:30,12.0
0.6890,19.9270,0.4170,88.94,0.9980,2025-01-05 13:17:30,12.0
0.6990,19.9370,0.3640,89.1710,1.0210,2025-01-05 13:17:30,12.0
0.71,19.9590,0.5420,89.0940,1.0790,2025-01-05 13:17:30,12.0
0.7390,20.1340,0.4270,89.7530,1.1130,2025-01-05 13:17:30,12.0
0.6890,19.8930,0.3540,88.8170,0.9480,2025-01-05 13:17:30,12.0
0.7130,19.9520,0.4620,88.83,1.0870,2025-01-05 13:17:30,12.0
0.7320,20.0090,0.4730,88.7060,1.08,2025-01-05 13:17:30,12.0
0.7420,19.9180,0.3250,88.64,1.1220,2025-01-05 13:17:30,12.0
0.7270,19.9590,0.3850,89.1260,1.0810,2025-01-05 13:17:30,12.0
0.7120,20.0060,0.6120,89.19,1.0690,2025-01-05 13:17:30,12.0
0.6760,19.9270,0.5850,88.5720,1.0240,2025-01-05 13:17:30,12.0
0.70,19.8450,0.4620,88.4270,0.9960,2025-01-05 13:17:30,12.0
0.7280,20.1030,0.5740,89.0380,1.0650,2025-01-05 13:17:30,12.0
0.6810,20.0060,0.5150,88.6560,0.9520,2025-01-05 13:17:30,12.0
0.6990,20.0340,0.3430,88.4060,1.0660,2025-01-05 19:01:57,13.0
0.7140,20.0620,0.3320,88.9620,1.0790,2025-01-05 19:01:57,13.0
0.7430,20.0060,0.5530,88.6210,1.1110,2025-01-05 19:01:57,13.0
0.6960,20.0030,0.4940,88.8410,1.0230,2025-01-05 19:01:57,13.0
0.74,20.1090,0.4660,88.89,1.1360,2025-01-05 19:01:57,13.0
0.7230,19.9210,0.5810,89.06,1.1380,2025-01-05 19:01:57,13.0
0.7260,20.0060,0.4520,88.8970,1.0940,2025-01-05 19:01:57,13.0
0.7110,19.8890,0.6090,88.93,1.0250,2025-01-05 19:01:57,13.0
0.7360,20.0680,0.49,88.6360,1.1260,2025-01-05 19:01:57,13.0
0.7170,20.0060,0.4410,89.0860,1.08,2025-01-05 19:01:57,13.0
0.6970,19.9740,0.5840,88.8620,1.0240,2025-01-05 19:01:57,13.0
0.7160,19.9650,0.3110,89.0650,1.0690,2025-01-05 19:01:57,13.0
0.7050,19.9840,0.4760,88.7990,1.0570,2025-01-05 19:01:57,13.0
0.7250,19.8890,0.3960,88.8780,1.0980,2025-01-05 19:01:57,13.0
0.7080,19.9680,0.4060,89.0280,1.0770,2025-01-05 19:01:57,13.0
0.6870,19.8610,0.4440,88.5980,0.9990,2025-01-05 19:01:57,13.0
0.7160,19.8450,0.5910,89.0180,1.0770,2025-01-05 19:01:57,13.0
0.6970,19.8520,0.3710,89.0410,1.0090,2025-01-05 19:01:57,13.0
0.7080,19.9370,0.2660,88.6160,1.13,2025-01-05 19:01:57,13.0
0.7090,20.0180,0.4270,88.62,1.0960,2025-01-05 19:01:57,13.0
0.6850,20.0310,0.4790,89.0320,0.9420,2025-01-05 21:12:05,14.0
0.6910,19.9080,0.6440,88.6240,1.0030,2025-01-05 21:12:05,14.0
0.6820,19.9490,0.49,88.7380,0.9990,2025-01-05 21:12:05,14.0
0.7360,20.16,0.5640,88.9080,1.1190,2025-01-05 21:12:05,14.0
0.6830,20.0210,0.4760,89.0960,1.0010,2025-01-05 21:12:05,14.0
0.7190,20.0280,0.3990,88.7440,1.0380,2025-01-05 21:12:05,14.0
0.6860,19.9550,0.6230,89.0260,0.9340,2025-01-05 21:12:05,14.0
0.6960,19.93,0.2730,88.7070,1.0050,2025-01-05 21:12:05,14.0
0.6960,19.8890,0.4170,88.4630,0.9850,2025-01-05 21:12:05,14.0
0.7020,19.94,0.3360,88.7290,0.97,2025-01-05 21:12:05,14.0
0.7080,19.9180,0.6440,89.30,1.0180,2025-01-05 21:12:05,14.0
0.7260,20.0370,0.4270,88.9720,1.0910,2025-01-05 21:12:05,14.0
0.6840,19.9680,0.3990,88.8070,0.9930,2025-01-05 21:12:05,14.0
0.7060,19.9050,0.2980,88.4460,1.05,2025-01-05 21:12:05,14.0
0.7220,20.0560,0.5390,88.7630,1.0860,2025-01-05 21:12:05,14.0
0.6870,19.9150,0.3810,88.4110,0.9780,2025-01-05 21:12:05,14.0
0.72,20.0650,0.41,88.75,1.1360,2025-01-05 21:12:05,14.0
0.7060,19.9770,0.5560,88.9660,0.9940,2025-01-05 21:12:05,14.0
0.7160,19.9550,0.8820,89.0670,1.1340,2025-01-05 21:12:05,14.0
0.71,19.99,0.4690,88.9070,1.0670,2025-01-05 21:12:05,14.0
0.7180,19.9740,0.41,88.7830,1.0690,2025-01-06 11:15:02,15.0
0.6810,19.9270,0.3610,88.7590,1.0340,2025-01-06 11:15:02,15.0
0.7110,19.8490,0.3460,88.8740,1.0020,2025-01-06 11:15:02,15.0
0.6790,19.8830,0.6020,88.5670,1.0140,2025-01-06 11:15:02,15.0
0.7090,19.9620,0.3780,88.7930,1.08,2025-01-06 11:15:02,15.0
0.71,20.0340,0.3780,88.5870,1.0370,2025-01-06 11:15:02,15.0
0.7410,19.9770,0.2730,88.6350,1.1270,2025-01-06 11:15:02,15.0
0.7320,19.9680,0.43,88.6170,1.1290,2025-01-06 11:15:02,15.0
0.6780,19.8860,0.5630,89.07,1.0010,2025-01-06 11:15:02,15.0
0.6970,19.9960,0.4620,88.5560,0.9770,2025-01-06 11:15:02,15.0
0.72,19.8890,0.7840,88.8320,0.9740,2025-01-06 11:15:02,15.0
0.6850,19.8490,0.3610,89.0110,1.0040,2025-01-06 11:15:02,15.0
0.6960,19.8550,0.3810,88.7720,1.0290,2025-01-06 11:15:02,15.0
0.70,19.9810,0.4760,89.2040,1.0390,2025-01-06 11:15:02,15.0
0.7140,19.9740,0.3960,88.8390,1.1290,2025-01-06 11:15:02,15.0
0.7170,19.9110,0.4730,88.6790,1.11,2025-01-06 11:15:02,15.0
0.7270,19.9840,0.4450,89.0690,1.0710,2025-01-06 11:15:02,15.0
0.7180,19.9930,0.2730,88.7730,1.1420,2025-01-06 11:15:02,15.0
0.72,19.8860,0.4340,88.8570,1.1320,2025-01-06 11:15:02,15.0
0.7290,19.94,0.4730,88.9070,1.0890,2025-01-06 11:15:02,15.0
0.7040,19.9870,0.4830,88.5560,1.1240,2025-01-06 13:05:14,16.0
0.6930,19.9680,0.3610,89.0850,1.0120,2025-01-06 13:05:14,16.0
0.7150,19.9460,0.34,88.8150,1,2025-01-06 13:05:14,16.0
0.73,19.9810,0.4940,88.87,1.06,2025-01-06 13:05:14,16.0
0.7430,20.0430,0.49,89.0580,1.1520,2025-01-06 13:05:14,16.0
0.7160,19.9650,0.3080,89.0790,1.04,2025-01-06 13:05:14,16.0
0.7380,19.9770,0.5040,88.6590,1.1090,2025-01-06 13:05:14,16.0
0.69,19.9810,0.4870,88.49,1.08,2025-01-06 13:05:14,16.0
0.7160,19.9960,0.5070,88.9520,1.0460,2025-01-06 13:05:14,16.0
0.6990,19.9550,0.4520,88.9060,1.0680,2025-01-06 13:05:14,16.0
0.6890,19.9650,0.3920,88.5060,1.0670,2025-01-06 13:05:14,16.0
0.74,20.0430,0.4270,89.0150,1.1810,2025-01-06 13:05:14,16.0
0.7310,20.0370,0.4230,88.9870,1.1440,2025-01-06 13:05:14,16.0
0.71,19.9960,0.4620,88.6950,1.0860,2025-01-06 13:05:14,16.0
0.6930,20.0250,0.3640,88.4940,0.9820,2025-01-06 13:05:14,16.0
0.7160,19.9810,0.5080,88.6860,1.0040,2025-01-06 13:05:14,16.0
