M,C,d,L,R,T,N
0.984,24.376,0.651,84.215,1.092,2025-01-02 19:41:53,11.0
0.993,24.29,0.392,84.243,1.14,2025-01-02 19:41:53,11.0
1.008,24.196,0.725,84.049,1.129,2025-01-02 19:41:53,11.0
0.967,24.235,1.059,83.997,1.023,2025-01-02 19:51:57,12.0
0.999,24.286,0.543,83.99,1.056,2025-01-02 19:51:57,12.0
0.978,24.271,0.603,84.211,1.053,2025-01-02 19:51:57,12.0
0.98,24.411,0.812,83.589,1.043,2025-01-02 19:51:57,12.0
0.982,24.334,0.606,83.632,1.204,2025-01-02 19:51:57,12.0
0.978,24.222,1.045,84.115,1.112,2025-01-02 19:51:57,12.0
0.962,24.383,0.788,83.561,1.073,2025-01-02 19:51:57,12.0
0.985,24.381,0.713,83.909,1.079,2025-01-02 19:51:57,12.0
0.969,24.231,0.822,84.189,1.05,2025-01-02 19:51:57,12.0
0.941,24.183,0.637,84.047,1.091,2025-01-02 19:51:57,12.0
0.96,24.335,0.513,83.62,1.061,2025-01-02 19:51:57,12.0
0.96,24.253,0.619,84.033,1.125,2025-01-02 19:51:57,12.0
0.991,24.377,0.524,83.405,1.061,2025-01-02 19:51:57,12.0
0.949,24.361,0.868,83.976,1.069,2025-01-02 19:51:57,12.0
0.979,24.271,0.539,84.254,1.014,2025-01-02 19:51:57,12.0
0.991,24.371,0.819,84.117,1.048,2025-01-02 19:51:57,12.0
0.96,24.247,0.65,83.782,1.012,2025-01-02 19:51:57,12.0
0.997,24.326,0.627,84.073,1.112,2025-01-02 19:51:57,12.0
0.966,24.39,0.943,83.881,1.018,2025-01-02 19:56:59,13.0
0.98,24.284,0.601,83.758,1.118,2025-01-02 19:56:59,13.0
0.976,24.397,0.83,83.989,1.059,2025-01-02 19:56:59,13.0
0.987,24.477,0.729,83.845,1.127,2025-01-02 19:56:59,13.0
0.952,24.184,0.564,83.591,0.988,2025-01-02 19:56:59,13.0
0.966,24.307,0.604,83.884,1.059,2025-01-02 19:56:59,13.0
0.962,24.369,0.678,84.038,1.083,2025-01-02 19:56:59,13.0
0.987,24.303,0.676,83.794,1.101,2025-01-02 19:56:59,13.0
0.959,24.405,0.484,83.863,1.089,2025-01-02 19:56:59,13.0
0.968,24.269,0.452,83.808,1.009,2025-01-02 19:56:59,13.0
0.957,24.257,0.486,83.99,1.149,2025-01-02 19:56:59,13.0
1.021,24.516,0.584,83.72,1.101,2025-01-02 19:56:59,13.0
0.986,24.239,0.542,83.777,1.068,2025-01-02 19:56:59,13.0
0.95,24.202,0.949,84.028,1.064,2025-01-02 19:56:59,13.0
0.996,24.334,0.679,83.884,1.078,2025-01-02 19:56:59,13.0
0.972,24.392,0.606,83.726,1.03,2025-01-02 19:56:59,13.0
0.961,24.206,0.544,84.058,0.998,2025-01-02 19:56:59,13.0
